15/12/05 11:29
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	5128	43939	    237931	    276938	  153	
未翻訳：        	1736	20223	    105317	    123348	   33	
繰り返しを除いた：   	4237	41655	    225669	    263236	  150	
繰り返しを除いた未翻訳：	1614	19762	    102470	    119975	   33	


ファイルごとの翻訳状況：

ファイル名                                                                                 	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
crystal-jp-gh-pages/_posts/2015-02-12-crystal-0.6.0-released.md                       	     16	    16	         15	            15	    222	   222	        220	           220	          1289	         1289	              1273	                 1273	          1476	         1476	              1458	                 1458	
crystal-jp-gh-pages/_posts/2015-03-04-crystal-0.6.1-released.md                       	      3	     3	          3	             3	     45	    45	         45	            45	           282	          282	               282	                  282	           314	          314	               314	                  314	
crystal-jp-gh-pages/_posts/2015-03-04-internals.md                                    	    337	   313	        271	           271	   3680	  3640	       3463	          3463	         18308	        18148	             17117	                17117	         21847	        21680	             20361	                20361	
crystal-jp-gh-pages/_posts/2015-04-01-auto.md                                         	     51	    50	         49	            49	    703	   701	        696	           696	          3639	         3632	              3597	                 3597	          4262	         4255	              4216	                 4216	
crystal-jp-gh-pages/_posts/2015-04-30-crystal-0.7.0-released.md                       	     15	    15	         15	            15	    221	   221	        221	           221	          1320	         1320	              1320	                 1320	          1493	         1493	              1493	                 1493	
crystal-jp-gh-pages/_posts/2015-05-26-crystal-0.7.2-released.md                       	      4	     4	          4	             4	     52	    52	         52	            52	           355	          355	               355	                  355	           393	          393	               393	                  393	
crystal-jp-gh-pages/_posts/2015-06-07-crystal-0.7.3-released.md                       	      3	     3	          3	             3	     49	    49	         49	            49	           312	          312	               312	                  312	           347	          347	               347	                  347	
crystal-jp-gh-pages/_posts/2015-06-23-crystal-0.7.4-released.md                       	      6	     6	          6	             6	    114	   114	        114	           114	           617	          617	               617	                  617	           711	          711	               711	                  711	
crystal-jp-gh-pages/_posts/2015-07-30-crystal-0.7.5-released.md                       	      8	     8	          7	             7	     93	    93	         87	            87	           620	          620	               576	                  576	           674	          674	               628	                  628	
crystal-jp-gh-pages/_posts/2015-08-24-its-a-typeof-magic.md                           	    138	   128	        118	           118	   1447	  1434	       1397	          1397	          7641	         7592	              7360	                 7360	          8993	         8943	              8681	                 8681	
crystal-jp-gh-pages/_posts/2015-09-04-crystal-0.7.7-released.md                       	     22	    22	         21	            21	    390	   390	        384	           384	          2211	         2211	              2167	                 2167	          2498	         2498	              2452	                 2452	
crystal-jp-gh-pages/_posts/2015-09-05-tools.md                                        	     93	    83	         79	            79	    828	   818	        808	           808	          4405	         4356	              4295	                 4295	          5149	         5094	              5024	                 5024	
crystal-jp-gh-pages/_posts/2015-10-16-crystal-0.9.0-released.md                       	     14	    14	         13	            13	    170	   170	        164	           164	          1021	         1021	               977	                  977	          1140	         1140	              1094	                 1094	
crystal-jp-gh-pages/_site/docs/syntax_and_semantics/blocks_performance.md             	      1	     1	          1	             1	      1	     1	          1	             1	             8	            8	                 8	                    8	             9	            9	                 9	                    9	
crystal-jp-gh-pages/_site/docs/syntax_and_semantics/macros/fresh_variables.md         	     26	    11	         14	            11	    244	   190	        200	           190	           921	          608	               693	                  608	           995	          641	               729	                  641	
crystal-jp-gh-pages/_site/docs/syntax_and_semantics/proc_pointer.md                   	      1	     0	          0	             0	      2	     0	          0	             0	            12	            0	                 0	                    0	            14	            0	                 0	                    0	
crystal-jp-gh-pages/_site/README.md                                                   	      3	     3	          3	             3	     62	    62	         62	            62	           363	          363	               363	                  363	           375	          375	               375	                  375	
crystal-jp-gh-pages/docs/syntax_and_semantics/blocks_performance.md                   	      1	     0	          0	             0	      1	     0	          0	             0	            12	            0	                 0	                    0	            13	            0	                 0	                    0	
crystal-jp-gh-pages/docs/syntax_and_semantics/proc_pointer.md                         	      1	     0	          0	             0	      2	     0	          0	             0	            12	            0	                 0	                    0	            14	            0	                 0	                    0	
crystal-jp-gh-pages/_posts/2015-10-30-crystal-0.9.1-released.md                       	      5	     5	          5	             5	     94	    94	         94	            94	           571	          571	               571	                  571	           642	          642	               642	                  642	
