15/12/05 11:29
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	5128	43939	    237931	    276938	  153	
未翻訳：        	1736	20223	    105317	    123348	   33	
繰り返しを除いた：   	4237	41655	    225669	    263236	  150	
繰り返しを除いた未翻訳：	1614	19762	    102470	    119975	   33	


ファイルごとの翻訳状況：

ファイル名                                                                                 	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/fun.md                   	     40	     0	         36	             0	    458	     0	        446	             0	          2341	            0	              2281	                    0	          2740	            0	              2676	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/lib.md                   	     11	     0	         11	             0	    132	     0	        132	             0	           751	            0	               751	                    0	           863	            0	               863	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/out.md                   	     16	     0	         14	             0	    160	     0	        157	             0	           898	            0	               880	                    0	          1040	            0	              1021	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/README.md                	      3	     0	          3	             0	     35	     0	         35	             0	           183	            0	               183	                    0	           216	            0	               216	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/struct.md                	     41	     0	         29	             0	    230	     0	        208	             0	          1325	            0	              1211	                    0	          1530	            0	              1407	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/to_unsafe.md             	     19	     0	         14	             0	    116	     0	        105	             0	           610	            0	               559	                    0	           708	            0	               654	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/type.md                  	     13	     0	         10	             0	    102	     0	         91	             0	           514	            0	               456	                    0	           601	            0	               538	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/union.md                 	     26	     0	         20	             0	    162	     0	        144	             0	           931	            0	               843	                    0	          1077	            0	               972	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/c_bindings/variables.md             	     11	     0	          8	             0	     71	     0	         62	             0	           409	            0	               359	                    0	           467	            0	               413	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/capturing_blocks.md                 	     36	     0	         28	             0	    307	     0	        293	             0	          1656	            0	              1591	                    0	          1931	            0	              1862	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/case.md                             	     41	     0	         33	             0	    249	     0	        224	             0	          1410	            0	              1206	                    0	          1596	            0	              1382	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/class_variables.md                  	     30	     0	         23	             0	    136	     0	        122	             0	           828	            0	               756	                    0	           935	            0	               859	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/classes_and_methods.md              	      6	     0	          6	             0	     44	     0	         44	             0	           224	            0	               224	                    0	           261	            0	               261	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/closures.md                         	     35	     0	         27	             0	    336	     0	        311	             0	          1608	            0	              1464	                    0	          1936	            0	              1779	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/comments.md                         	      4	     0	          4	             0	     19	     0	         19	             0	           118	            0	               118	                    0	           135	            0	               135	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/compile_time_flags.md               	     43	     0	         26	             0	    224	     0	        194	             0	          1177	            0	              1016	                    0	          1359	            0	              1188	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/constants.md                        	     17	     0	         15	             0	     96	     0	         94	             0	           474	            0	               461	                    0	           553	            0	               539	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/control_expressions.md              	      2	     0	          2	             0	     17	     0	         17	             0	           100	            0	               100	                    0	           116	            0	               116	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/cross-compilation.md                	     23	     0	         22	             0	    367	     0	        365	             0	          1897	            0	              1886	                    0	          2221	            0	              2209	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/declare_var.md                      	      7	     0	          7	             0	     69	     0	         69	             0	           485	            0	               485	                    0	           542	            0	               542	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/default_and_named_arguments.md      	     18	     0	         16	             0	    187	     0	        182	             0	           876	            0	               847	                    0	          1058	            0	              1028	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/enum.md                             	     82	     0	         66	             0	    496	     0	        468	             0	          2665	            0	              2517	                    0	          3105	            0	              2948	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/everything_is_an_object.md          	      6	     0	          6	             0	     61	     0	         61	             0	           279	            0	               279	                    0	           336	            0	               336	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/exception_handling.md               	    111	     0	         84	             0	    814	     0	        746	             0	          4883	            0	              4378	                    0	          5554	            0	              5024	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/finalize.md                         	     12	     0	         10	             0	    102	     0	         97	             0	           546	            0	               520	                    0	           636	            0	               609	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/generics.md                         	    111	     0	         75	             0	    755	     0	        685	             0	          3991	            0	              3620	                    0	          4611	            0	              4217	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/global_variables.md                 	      6	     0	          6	             0	     58	     0	         58	             0	           293	            0	               293	                    0	           347	            0	               347	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/if.md                               	     36	     0	         31	             0	    270	     0	        255	             0	          1223	            0	              1100	                    0	          1462	            0	              1333	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/if_var.md                           	     31	     0	         31	             0	    337	     0	        337	             0	          1607	            0	              1607	                    0	          1917	            0	              1917	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/if_varis_a.md                       	     23	     0	         23	             0	    195	     0	        195	             0	           921	            0	               921	                    0	          1089	            0	              1089	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/if_varresponds_to.md                	     17	     0	         14	             0	    175	     0	        144	             0	           883	            0	               709	                    0	          1034	            0	               829	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/inheritance.md                      	     56	     0	         31	             0	    279	     0	        215	             0	          1621	            0	              1274	                    0	          1832	            0	              1463	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/instance_sizeof.md                  	     10	     0	          8	             0	     74	     0	         70	             0	           366	            0	               348	                    0	           430	            0	               411	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/instance_variables_type_inference.md	    102	     0	         64	             0	    735	     0	        669	             0	          3955	            0	              3534	                    0	          4611	            0	              4149	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/is_a.md                             	      6	     0	          5	             0	     68	     0	         66	             0	           418	            0	               407	                    0	           501	            0	               489	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals.md                         	      2	     0	          2	             0	     13	     0	         13	             0	            75	            0	                75	                    0	            87	            0	                87	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/array.md                   	     23	     0	         23	             0	    247	     0	        247	             0	          1222	            0	              1222	                    0	          1454	            0	              1454	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/bool.md                    	      4	     0	          4	             0	     33	     0	         33	             0	           187	            0	               187	                    0	           214	            0	               214	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/char.md                    	     13	     1	         13	             1	    143	     6	        143	             6	           827	           47	               827	                   47	           954	           56	               954	                   56	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/floats.md                  	     10	     0	         10	             0	    132	     0	        132	             0	           869	            0	               869	                    0	           992	            0	               992	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/hash.md                    	     23	     0	         20	             0	    267	     0	        232	             0	          1350	            0	              1195	                    0	          1608	            0	              1421	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/integers.md                	     19	     0	         17	             0	    204	     0	        187	             0	          1240	            0	              1148	                    0	          1415	            0	              1307	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/nil.md                     	      3	     0	          3	             0	     15	     0	         15	             0	            96	            0	                96	                    0	           104	            0	               104	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/proc.md                    	     26	     0	         26	             0	    219	     0	        219	             0	          1155	            0	              1155	                    0	          1352	            0	              1352	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/range.md                   	      4	     0	          4	             0	     68	     0	         68	             0	           333	            0	               333	                    0	           393	            0	               393	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/regex.md                   	     12	     0	         12	             0	     84	     0	         84	             0	           549	            0	               549	                    0	           620	            0	               620	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/string.md                  	     32	     1	         29	             1	    349	     6	        295	             6	          2003	           47	              1760	                   47	          2345	           56	              2051	                   56	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/symbol.md                  	      7	     0	          7	             0	     54	     0	         54	             0	           418	            0	               418	                    0	           460	            0	               460	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/literals/tuple.md                   	      4	     0	          4	             0	     51	     0	         51	             0	           324	            0	               324	                    0	           417	            0	               417	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/local_variables.md                  	     10	     0	          9	             0	    130	     0	        120	             0	           665	            0	               621	                    0	           786	            0	               733	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/low_level_primitives.md             	      3	     0	          3	             0	     20	     0	         20	             0	           122	            0	               122	                    0	           140	            0	               140	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/macros.md                           	    106	     0	         78	             0	    667	     0	        601	             0	          3837	            0	              3442	                    0	          4451	            0	              4021	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/macros/fresh_variables.md           	     28	     0	         22	             0	    223	     0	        201	             0	          1229	            0	              1116	                    0	          1424	            0	              1288	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/macros/hooks.md                     	     22	     0	         18	             0	    129	     0	        122	             0	           809	            0	               776	                    0	           930	            0	               896	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/macros/macro_methods.md             	     22	     0	         17	             0	    184	     0	        173	             0	          1103	            0	              1049	                    0	          1266	            0	              1210	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/methods_and_instance_variables.md   	     51	     0	         20	             0	    253	     0	        176	             0	          1455	            0	              1019	                    0	          1655	            0	              1182	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/modules.md                          	     66	     0	         52	             0	    429	     0	        409	             0	          2173	            0	              2094	                    0	          2527	            0	              2444	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/multiple_assignment.md              	     18	     0	         18	             0	    201	     0	        201	             0	          1109	            0	              1109	                    0	          1295	            0	              1295	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/new,_initialize_and_allocate.md     	     42	     0	         33	             0	    321	     0	        305	             0	          1631	            0	              1549	                    0	          1911	            0	              1824	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/next.md                             	      9	     0	          6	             0	     58	     0	         54	             0	           239	            0	               228	                    0	           289	            0	               276	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/operators.md                        	     45	     0	         31	             0	    261	     0	        239	             0	          1509	            0	              1391	                    0	          1831	            0	              1704	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/or.md                               	     10	     0	          7	             0	     68	     0	         37	             0	           311	            0	               191	                    0	           371	            0	               223	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/overloading.md                      	     64	     0	         41	             0	    373	     0	        322	             0	          2149	            0	              1842	                    0	          2471	            0	              2138	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/pointerof.md                        	     20	     0	         15	             0	     80	     0	         69	             0	           466	            0	               412	                    0	           522	            0	               465	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/proc_literal.md                     	      9	     0	          8	             0	     82	     0	         80	             0	           453	            0	               444	                    0	           521	            0	               512	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/proc_pointer.md                     	      1	     0	          1	             0	      2	     0	          2	             0	            12	            0	                12	                    0	            14	            0	                14	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/README.md                           	      2	     0	          2	             0	     14	     0	         14	             0	            62	            0	                62	                    0	            73	            0	                73	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/requiring_files.md                  	     42	     0	         39	             0	    414	     0	        383	             0	          2146	            0	              1982	                    0	          2525	            0	              2331	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/responds_to.md                      	      5	     0	          4	             0	     54	     0	         52	             0	           347	            0	               336	                    0	           397	            0	               385	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/return_types.md                     	     10	     0	          8	             0	     59	     0	         56	             0	           310	            0	               297	                    0	           357	            0	               343	                    0	
crystal-jp-gh-pages/_gitbook/syntax_and_semantics/sizeof.md                           	     10	     0	          9	             0	    108	     0	        106	             0	           599	            0	               588	                    0	           694	            0	               682	                    0	
